Ai,2015,2016,2017,2018,2019,Temporal
$A_{1}$,24,22,23,24,24,24
$A_{2}$,12,14,16,14,15,14
$A_{3}$,16,18,20,20,20,19
$A_{4}$,6,4,3,2,2,3
$A_{5}$,10,10,11,11,11,11
$A_{6}$,13,11,12,10,10,10
$A_{7}$,14,15,10,12,12,12
$A_{8}$,17,13,13,15,14,13
$A_{9}$,18,19,19,21,19,20
$A_{10}$,19,17,18,18,17,17
$A_{11}$,29,29,28,30,30,30
$A_{12}$,7,7,7,9,8,7
$A_{13}$,27,26,24,17,21,23
$A_{14}$,9,9,9,8,9,9
$A_{15}$,15,16,17,19,22,18
$A_{16}$,28,28,30,29,29,29
$A_{17}$,22,24,25,25,26,26
$A_{18}$,23,20,15,13,13,15
$A_{19}$,30,30,29,27,27,27
$A_{20}$,2,2,4,3,3,2
$A_{21}$,25,27,27,28,28,28
$A_{22}$,5,5,6,6,6,6
$A_{23}$,11,12,14,16,16,16
$A_{24}$,20,21,21,22,23,21
$A_{25}$,21,25,26,26,25,25
$A_{26}$,3,6,5,5,5,5
$A_{27}$,1,1,1,1,1,1
$A_{28}$,26,23,22,23,18,22
$A_{29}$,8,8,8,7,7,8
$A_{30}$,4,3,2,4,4,4
