Ai,2015,2016,2017,2018,2019,Temporal
$A_{1}$,0.8451728469256512,0.8322178887230168,0.8373261443786717,0.842957125189095,0.8342723351643005,0.8298395828684128
$A_{2}$,0.7575731287554051,0.7568792879935573,0.7800873038140868,0.783782820849708,0.774016688578068,0.6676627203269061
$A_{3}$,0.7830082758916914,0.7950111445204702,0.8102364906016062,0.8227854318442578,0.8150771123375486,0.7635011555899497
$A_{4}$,0.6546730913185392,0.6333447921355163,0.6277333676931947,0.6372301981991473,0.6352077676973498,0.3105444537006164
$A_{5}$,0.7383585885070254,0.7440178077690873,0.7533601913705533,0.7496725617825197,0.7382540680669751,0.5900616698891542
$A_{6}$,0.7644629330118826,0.75147209274418,0.7547112156088778,0.7356376408950184,0.7251040894948745,0.5748466212428477
$A_{7}$,0.7672164925190406,0.7628455453603264,0.7428297950691433,0.7642340349866121,0.739788552879801,0.6073131816631485
$A_{8}$,0.7931805193545871,0.7524313863727206,0.7614276230218592,0.7877305449420502,0.770128537938804,0.6636681760486686
$A_{9}$,0.7951975955553576,0.804145898489549,0.8093484943505534,0.8230807402018607,0.8144011226274656,0.7674075859761922
$A_{10}$,0.7968877550230855,0.7946281974398706,0.8091806054424622,0.8115991600338522,0.8054813596022241,0.7483265095069596
$A_{11}$,0.8978159508049958,0.9052399914334724,0.8978447304673328,0.9101988532952576,0.899619586401474,0.99685759709351
$A_{12}$,0.677440721285044,0.6818103647803265,0.6811157158998603,0.722372372858514,0.7181254705933987,0.49192328263520735
$A_{13}$,0.8629489344538812,0.8565265219898233,0.8579189832480781,0.8026177308699535,0.8158358352944365,0.8031578149017933
$A_{14}$,0.7046611633947859,0.710972722170829,0.7176287248835171,0.7168675479386044,0.7228070661792475,0.5218193330881246
$A_{15}$,0.7714376166563477,0.7871599257023264,0.8021114881872828,0.8125273310297677,0.8192125729617061,0.7530687790732629
$A_{16}$,0.8911058384479592,0.9033356300713897,0.9012176717882342,0.9062625234111418,0.8914277578619824,0.98560853669138
$A_{17}$,0.8398082583211559,0.8427677118975188,0.8602848265523239,0.868330825419925,0.8451969251032313,0.8696111611380635
$A_{18}$,0.8441722330261237,0.8044501562778021,0.7730152359996856,0.7735379390209678,0.7639279866987315,0.6767236188463412
$A_{19}$,0.9057327672065265,0.9060600946831894,0.9004080530022386,0.8885998867470235,0.8495210515324644,0.9344318963260015
$A_{20}$,0.5890548115195691,0.6100318764107092,0.6299147152799427,0.6397589031216385,0.643719280736329,0.30322761238633383
$A_{21}$,0.8509101404119651,0.8736057852225675,0.887845118244128,0.8913466698102442,0.8799781273084724,0.9426608264471739
$A_{22}$,0.6401129770346469,0.6457518613679376,0.6619320578827496,0.693996039062806,0.6960819460836006,0.42554906312101476
$A_{23}$,0.7515751023578008,0.752389722091423,0.7720486594178958,0.8001537746892279,0.7934517903231894,0.6924709212128866
$A_{24}$,0.802281855767013,0.804904822610382,0.8147126097966086,0.8279024204089961,0.819610152990949,0.7797308809246399
$A_{25}$,0.8165465305609056,0.8427854826842526,0.8679992969403237,0.8749494718971513,0.8406382228964808,0.8684096792452481
$A_{26}$,0.6160697702743239,0.6659450475112785,0.6542833971079433,0.6637409485457907,0.6546060024708523,0.3611641668137686
$A_{27}$,0.4957259195465722,0.49439050698884207,0.5047792069007702,0.5254820299575761,0.5214171550853227,0.0
$A_{28}$,0.8562927820897918,0.8379186274937618,0.8366376206261401,0.8288947660370469,0.8110194636774319,0.8002179723800389
$A_{29}$,0.6974120343805406,0.6951126749407435,0.7092832571914046,0.7148027756507797,0.7136952878160134,0.501882593238679
$A_{30}$,0.6361641447334103,0.6221392352731352,0.6091433702618301,0.6495693122309254,0.6446639554905427,0.3138311954159898
